"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164244596&doi=10.1103%2fPRXQuantum.4.020345&partnerID=40&md5=7540a7ea35fa8eb3af41ed0392495a2e","","Clocks; Pipelines; Qubits; Trapped ions; 3D lattices; Computing platform; Ion qubits; Physical layout; Pipeline architecture; Quantum Computing; Spacetime; Spin qubit; Trapped ion; Two-dimensional; Distillation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164239681&doi=10.1103%2fPRXQuantum.4.020352&partnerID=40&md5=eaf91780eb3444d00582964d32a96b5b","","Bayesian networks; Inference engines; Stochastic systems; Bayes' rule; Bayesian inference; Explicit formula; Logical inference; Physical science; Positive-operator-valued measures; Quantum regimes; Quasiprobability; Symmetrics; Wigner representation; Quantum theory"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151390424&doi=10.1103%2fPRXQuantum.4.010328&partnerID=40&md5=d365175adee9e8a03872d32928b42177","","Benchmarking; Learning systems; Quantum theory; Qubits; Toys; Guiding principles; Inductive bias; Learning models; Learning problem; Learning tasks; Machine-learning; Parametrizations; Quanta computers; Quantum learning; Quantum machines; Machine learning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164235511&doi=10.1103%2fPRXQuantum.4.020348&partnerID=40&md5=3adfcda21a5b2bc71279e1b6469f9790","","Quantum optics; Interacting system; Is-enabled; Local perturbation; Local property; Perturbation decays; Power-law; Power-law exponents; Quantum system; Spatial dimension; Spectral gap; Ground state"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167866861&doi=10.1103%2fPRXQuantum.4.030314&partnerID=40&md5=df04a288f96128a7c6e008e08ae49f8a","","Electronic structure; Mapping; Topology; Delocalizations; Electronic structure calculations; Property; Quanta computers; Quantum algorithms; Quantum Computing; Quantum device; Scalings; SWAP gate; Ternary tree; Qubits"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164235235&doi=10.1103%2fPRXQuantum.4.020357&partnerID=40&md5=d29029bc8a7ce3e48da97e0249dd6660","","Crystal lattices; Group theory; Matrix algebra; Duality transformation; Global symmetries; Lattice models; Lattice system; Matrix products; Non-abelian groups; One-dimensional; Product operator; Symmetric operators; Symmetrics; Hamiltonians"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167873949&doi=10.1103%2fPRXQuantum.4.030309&partnerID=40&md5=1ead5475811ea94b1f2458fca45ec2da","","Nanocrystals; Nanoprobes; Refractory metal compounds; Atomic force; Discrete step; Floating gates; Gate electrodes; Measurements of; Metallic gates; Nanoscale floating-gates; Si/SiGe heterostructures; Single electron; Specific voltages; Semiconductor quantum dots"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164237654&doi=10.1103%2fPRXQuantum.4.020354&partnerID=40&md5=fee72025f37953cbd21d21d2fbd9c1c5","","Bosons; Error correction; Logic gates; Quantum optics; Qubits; Signal detection; Ancilla; Bloch sphere; Encoded qubits; Encodings; Geometric framework; High-fidelity; Quantum circuit; Quantum error corrections; Quantum memory; Two-qubit gates; Hamiltonians"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163285366&doi=10.1103%2fPRXQuantum.4.020323&partnerID=40&md5=1189e2c906654ea2e856b7c1f95a65a2","","Quantum chemistry; Quantum computers; Two dimensional electron gas; Average cost; Block encoding; Cost simulations; Gate complexity; Interaction strength; Power-law; Quanta computers; Quantum dynamics; Sequential manners; Sublinear; Hamiltonians"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149681866&doi=10.1103%2fPRXQuantum.4.010323&partnerID=40&md5=707de553e695d90f52a4e0378f80d385","","Electrons; Electrospinning; Metal ions; Photonic devices; Quantum theory; Rare earths; Silicon photonics; Spin dynamics; Coherent control; Direct emissions; Electron spins; Er3+ ions; Nuclear spins; Quantum repeaters; Rare earth ions; Silicon photonic devices; Spin/photon interfaces; Telecom bands; Magnetic moments"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164238905&doi=10.1103%2fPRXQuantum.4.020349&partnerID=40&md5=fcb1461fe21b5b7d386d45c8ec0da1b6","","Coupling strengths; Dynamical exponents; Heavy-tails; One dimension; One dimensional spin chains; Robinson; Translation invariance; Weakest links; Ground state"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158878264&doi=10.1103%2fPRXQuantum.4.020308&partnerID=40&md5=adda3e7e58e77c841d739116f667f661","","Bacteriophages; Quantum efficiency; Depth measurements; Device design; Optical depth; Optical telecommunication bands; Optical-; Property; Quantum memory; Spin/photon interfaces; T centers; Telecommunication bands; Silicon"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167872333&doi=10.1103%2fPRXQuantum.4.030311&partnerID=40&md5=2a57dc093fd2df991ae42c3dcd1cc659","","Hamiltonians; Phase space methods; Quantum chemistry; Quantum optics; Qubits; Simulation platform; Atomic ion qubits; Coordinate transformations; Feature coupling; High-order; Higher-order; Optical-; Parametric drives; Quantum algorithms; Quantum spin models; Trapped ion; Trapped ions"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151340571&doi=10.1103%2fPRXQuantum.4.010332&partnerID=40&md5=db6bc39f5a8602a92170db839fe07837","","Heat engines; Quantum optics; Absolute zero temperature; Control complexity; Energy cost; Infinite time; Landauer; Landauer's principles; Laws of thermodynamics; Quantum state; Quantum system; Time complexity; Thermodynamics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163307774&doi=10.1103%2fPRXQuantum.4.020336&partnerID=40&md5=42e03e01c2805850b62bf285d370789e","","Atom lasers; Atoms; Error correction; Average errors; Experimental imperfections; Gate errors; Gate operation; Logical qubits; Neutral atoms; Optimisations; Performance; Quantum error corrections; Rydberg; Qubits"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164243554&doi=10.1103%2fPRXQuantum.4.020347&partnerID=40&md5=e8f6b145f3f742aabde1f523249c7c1e","","Couplings; Decision making; Ground state; Hamiltonians; Hilbert spaces; Quantum entanglement; Quantum optics; Vector spaces; Cost-function; Greedy approaches; Many body; Matrix product state; Quantum control; Quantum state; State preparation; State-machine; System size; Target state; Cost functions"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167874493&doi=10.1103%2fPRXQuantum.4.030307&partnerID=40&md5=e2f593bd94575db65f995252d0eea09a","","Electronic states; Quantum chemistry; Quantum computers; Cluster operator; Dynamic correlation; Eigensolvers; Electronic correlation; Electronics system; Low-lying state; Non-orthogonal; Optimisations; Quantum algorithms; Statics and dynamics; Wave functions"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151374188&doi=10.1103%2fPRXQuantum.4.010202&partnerID=40&md5=096a654a6bfe66d08737f6f670c7ad4f","","Defects; Electronic structure; Optical correlation; Particle beams; Photons; Quantum optics; Analytical tool; Correlation spectroscopy; Indispensable tools; Optical dynamics; Photon emissions; Property; Quantum defects; Quantum emitters; Single photon emission; Solid-state system; Data acquisition"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163392595&doi=10.1103%2fPRXQuantum.4.020328&partnerID=40&md5=29c016730e45df47bd36ab2bd7d55550","","Modular construction; Quantum communication; Quantum optics; Arbitrary graphs; Computational error; Fault-tolerant quantum computing; Graph codes; Measurement-based; Noise mechanisms; Quantum repeaters; Quantum technologies; Qubits"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151353353&doi=10.1103%2fPRXQuantum.4.010330&partnerID=40&md5=ad41831a13df7d4374b99af6da90952a","","Information filtering; Number theory; Quantum cryptography; Quantum theory; Co-designs; Quantum random number generators; Quantum vacuum; Random number generators; Random Numbers; Random-number generation; Side information; Ultra-fast; Vacuum fluctuations; Vacuum state; Random number generation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163397887&doi=10.1103%2fPRXQuantum.4.020337&partnerID=40&md5=403ae090d1c21ece35ca1c4ae3cfb93a","","Bosons; Concatenated codes; Decoding; Error correction; Ground state; Network architecture; Optical Kerr effect; Optimal systems; Photons; Quantum entanglement; Quantum optics; Qubits; Signal encoding; Bit-flips; Bosonic systems; Detunings; Encodings; Kerr nonlinearity; Kerrnonlinearities; Photon loss; Quantum error corrections; Quantum Information; Two photon; Encoding (symbols)"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158836054&doi=10.1103%2fPRXQuantum.4.020304&partnerID=40&md5=545332d0286a5b205e87b29a9dec912a","","Benchmarking; Quantum computers; Quantum optics; Statistical mechanics; Timing circuits; Density matrix renormalization group; Google+; Hamiltonians matrices; Hermitians; Matrix product state; Quanta computers; Quantum circuit; Smallest circuits; Time-dependent density matrix; Unitary matrix; Combinatorial optimization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151380468&doi=10.1103%2fPRXQuantum.4.010331&partnerID=40&md5=35598cba6e1b24e9ad6165181a44b931","","Domain walls; Dynamics; Environmental regulations; Quantum entanglement; Timing circuits; ClIFFORD; Error-correcting; Hybrid circuit; One-dimensional; Projective measurement; Quantum circuit; Quantum dynamics; Quantum state; Random environment; State trajectory; Statistical mechanics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164497167&doi=10.1103%2fPRXQuantum.4.020901&partnerID=40&md5=71229da26437f0b53adc26b29fa3bb5a","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158842683&doi=10.1103%2fPRXQuantum.4.020312&partnerID=40&md5=d44e9796e70fa7a6ebaf0653d78d197f","","Quantum optics; Qubits; Activated process; Chaotics; High-fidelity; Information processor; Large parts; Processor architectures; Quantum Information; Resonant drive; Spectra's; Transmon qubit; Resonators"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158842443&doi=10.1103%2fPRXQuantum.4.020305&partnerID=40&md5=b33f694f07e2ac52d23968b9cf1b2a7f","","Conveyors; Excited states; Landforms; Orbits; Qubits; Semiconductor quantum dots; Silicon; Classical control; Coherence time; Control electronics; Industrial fabrication; Orbitals; Qubit transfer; Scalable architectures; Si/SiGe; Spin qubit; Valley splitting; Blueprints"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151382362&doi=10.1103%2fPRXQuantum.4.010329&partnerID=40&md5=5a42a5b4f0c2723ed2330ebcc47074dc","","Electrospinning; Magnetic moments; Nanocrystals; Semiconductor quantum dots; Spin dynamics; Detunings; Double quantum dots; Interdot tunnel coupling; Scaling-up; Single-shot measurements; Spin blockade; Spin state; Time-scales; Two-electron spin state; Two-electron systems; Electrometers"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151385474&doi=10.1103%2fPRXQuantum.4.010333&partnerID=40&md5=da73f2af4aab678a7c88d228613a1dc4","","Nonlinear optics; Optical parametric amplifiers; Parametric amplifiers; Photons; Pumps; Quantum computers; Quantum electronics; Quantum optics; Bogoliubov excitations; Detuned; Measurements of; Non-linear optical; Optical route; Photon number resolving; Quantum information processing; Quantum non-demolition; Quantum nondemolition measurements; Ultra-fast; Electrodynamics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164241185&doi=10.1103%2fPRXQuantum.4.020358&partnerID=40&md5=b8c3972578a211e4525898817aa2c225","","Codes (symbols); Error correction; Quantum theory; Qubits; Encodings; Meta-stable state; Metastable atomic state; Metastables; Pauli error; Performance; Quantum error correcting codes; Quantum error corrections; Thompson; Trapped ion; Trapped ions"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164239184&doi=10.1103%2fPRXQuantum.4.020355&partnerID=40&md5=e667c583a540a2274c4692aed7ffdccc","","Microwave oscillators; Optical instruments; Prisms; Quality control; Quantum optics; Qubits; Bosonic modes; Decoherence; Encoded qubits; Encodings; Errors correction; High quality; On-off ratio; Quantum oscillators; Superconducting microwave cavity; Two-qubit; Error correction"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158816906&doi=10.1103%2fPRXQuantum.4.020315&partnerID=40&md5=6874c037e50741178d3b1762204969c5","","Quantum computers; Quantum entanglement; Topology; Constant-depth circuits; Correlation lengths; Deterministics; Matrix product state; Measurement-based quantum computation; Preparation method; Quantum processors; Speed up; System size; Topological phase; Ground state"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158879603&doi=10.1103%2fPRXQuantum.4.020317&partnerID=40&md5=ea256eb29be4517d31f98f4d3ca15449","","Crystals; Ground state; Radio waves; Simulation platform; Trapped ions; Atomic ions; Linear strings; Monolithics; Quantum matter; Quantum simulations; Radiofrequency trap; Scalings; Spatial dimension; Spin models; Two-dimensional Coulomb crystals; Quantum chemistry"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158815779&doi=10.1103%2fPRXQuantum.4.020301&partnerID=40&md5=fa5e34ac12f8180df96fd0e4fdf1e6cd","","Atoms; Crystal lattices; Optical materials; Quantum chemistry; Contact interaction; High-fidelity; Interacting particles; Pseudoatoms; Quantum simulations; Rydberg; Simple++; Strong interaction; Ultracold atoms; Unit cells; Optical lattices"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163361588&doi=10.1103%2fPRXQuantum.4.020342&partnerID=40&md5=69da5caf27009c44aa62344f1551775d","","Bosons; Concatenated codes; Decoding; Gaussian distribution; Gaussian noise (electronic); Maximum likelihood; Qubits; White noise; Bosonic modes; Code comparisons; Conjugate variables; Error correcting code; Error-correcting; Gaussians; Maximum likelihood decoders; Performance; Power; Stabilizer codes; Benchmarking"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167867410&doi=10.1103%2fPRXQuantum.4.030317&partnerID=40&md5=f4915c02b356c97c9a008724660f5029","","Criticality (nuclear fission); Information theory; Phase transitions; Quantum optics; Boundary effects; Conformal field theories; Decoherence; Defect effects; Exposed to; Fixed points; Quantum criticality; Quantum state; Quantum-critical point; Weak measurements; Defects"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163396765&doi=10.1103%2fPRXQuantum.4.020341&partnerID=40&md5=c40981540f1bae3fef91962768272243","","Fault tolerance; Honeycomb structures; Random errors; Cube model; Dynamic trees; Error-correcting; Errors correction; Explicit connections; Floquet; Fractons; Three dimensions; Two-dimensional codes; Two-dimensions; Error correction"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163284452&doi=10.1103%2fPRXQuantum.4.020340&partnerID=40&md5=99ec295fdb562da5b1ed1e6b4d5faa2f","","Approximation algorithms; Computational complexity; Phase transitions; Quantum theory; Approximation errors; Classical simulation; Local observables; Nonlocal; Quantum dynamics; Quantum many-body systems; Quantum simulators; Quantum technologies; Recent progress; Time quantum; Dynamics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160225374&doi=10.1103%2fPRXQuantum.4.027001&partnerID=40&md5=37c38dcf4683b291d315763d908c9438","","High energy physics; Investments; Quantum optics; Co-designs; Community planning; Energy; Government sectors; High-energy physics; Physics community; Private sectors; Quantum information science; Quantum simulations; Subfields; Quantum chemistry"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158818377&doi=10.1103%2fPRXQuantum.4.020306&partnerID=40&md5=1f57b9b44ae13fc7ffc939f49a5c2a37","","Decoding; Particle beams; Photons; Quantum optics; Tomography; High-dimensional; High-dimensional encoding; Higher-dimensional; Mode-state; Multi-output; Proof of principles; Quantum Information; Single photon state; Single photons; Temporal modes; Quantum cryptography"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149650492&doi=10.1103%2fPRXQuantum.4.010321&partnerID=40&md5=6d2864f511b83138f50310e850e99638","","Gravitation; Quantum optics; Winding; Fine grained; Gravitational physics; Kitaev model; Matrix chain; Property; Quantum device; Quantum gravity; Quantum system; Random Matrix; Spin chains; Wave functions"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151345564&doi=10.1103%2fPRXQuantum.4.010325&partnerID=40&md5=7eb2636e9b3f8a1e79bec06c5db5ccf5","","Approximation theory; Data handling; Qubits; Characterization techniques; Experimental imperfections; Gate sets; Initial state; Low rank approximations; Quanta computers; Quantum gates; Standard tools; Tomographic; Two-qubit; Tomography"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163411924&doi=10.1103%2fPRXQuantum.4.020326&partnerID=40&md5=280e41828770fd5f06df24755b0d5be2","","Bose-Einstein condensation; Electrodynamics; Fabry-Perot interferometers; Microscopes; Resonators; Atomic imaging; Cavity Quantum Electrodynamics; Confocal cavity; Cooperativity; Fabry-Perot cavity; High-fidelity; Intracavities; Multimode resonators; Optical-; Single-mode resonators; Statistical mechanics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163288937&doi=10.1103%2fPRXQuantum.4.020330&partnerID=40&md5=9d29813e58387c4df8255f56ec61ff9a","","Alkaline earth metals; Crystal lattices; Lattice theory; Optical materials; Quantum chemistry; Quantum theory; Simulation platform; Ab initio; Alkaline earth; Cold gas; Energy scale; Lattice gauge theory; Matter field; One dimension; Quantum simulations; State-dependent; Two-dimensions; Optical lattices"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167872051&doi=10.1103%2fPRXQuantum.4.030303&partnerID=40&md5=b96e1df806d066a25b2ea92b10c077b1","","Computer architecture; Electrospinning; Germanium alloys; Magnetic moments; Nanocrystals; Quantum optics; Qubits; Silicon; Spin dynamics; Chip control; Coherent links; Control electronics; Electron spins; On chips; Quantum computing architectures; Quantum dot arrays; Scalable quantum computing; Silicon quantum dots; Spin qubit; Semiconductor quantum dots"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151350338&doi=10.1103%2fPRXQuantum.4.010334&partnerID=40&md5=0f105215503868b374c441499ebf41b1","","Hamiltonians; Quantum chemistry; Quantum theory; External fields; Floquet Hamiltonian; Ion traps; Noise source; Pulse sequence; Quantum many-body systems; Quantum simulations; Real-world; Static limits; Trapped ion; Trapped ions"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164238004&doi=10.1103%2fPRXQuantum.4.020346&partnerID=40&md5=0aa4794f600fc4c4aaac79c50dbc9baa","","Capacitance; Frequency multiplying circuits; Nanocrystals; Phase noise; Quantum optics; Qubits; Classical computing; Computing system; Cryogenic temperatures; Frequency multiplier; High frequency signals; Higher-frequency signals; Multiplication factor; Quantum-classical; Radiofrequencies; Single platform; Semiconductor quantum dots"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163383107&doi=10.1103%2fPRXQuantum.4.020334&partnerID=40&md5=ddc7279e32e85569c26d652686edba46","","Bayes' rule; Classical probabilities; Probability theory; Quantum Bayes rule; Quantum setting; Quantum system; Simple++; Statistical inference; Systematic framework; Time reversal symmetries; Quantum optics"
