"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162104824&doi=10.1016%2fj.spc.2023.06.002&partnerID=40&md5=9c42045bcfa5544a349d509cba994d32","Circular economy; Circularity; Micro indicators; Sustainability assessment","Economics; Life cycle; Sustainable development; Circular economy; Circularity; Comparative analyzes; Decisions makings; Economic models; Micro indicator; Micro level; Modelling tools; Simple++; Sustainability assessment; Decision making"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164678957&doi=10.1016%2fj.spc.2023.07.006&partnerID=40&md5=2a9cb5558e2fd04bbf4a44257501c400","Agri-food; Fuzzy Best-Worst Method; Multi-objective optimization; Stochastic programming; Sustainable food supply chain","Agricultural products; Decision making; Food supply; International trade; Stochastic models; Stochastic programming; Stochastic systems; Supply chains; Sustainable development; Uncertainty analysis; Agri-food; BAD methods; Food supply chain; Fuzzy best-bad method; Multi-objective optimization models; Multi-objectives optimization; Objective functions; Supply-chain designs; Sustainability criteria; Sustainable food supply chain; Multiobjective optimization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163551133&doi=10.1016%2fj.spc.2023.06.023&partnerID=40&md5=2eeba9914f6f85efb3fee87724cd26ef","Barriers; Customer order decoupling point; Drivers; Environmental sustainability; Industrial symbiosis; Outcomes","Industrial research; Supply chains; Barrier; Business outcomes; Case-studies; Customer order decoupling point; Driver; Environmental sustainability; Industrial symbiosis; Organizational context; Outcome; Result analysis; Sustainable development"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160644456&doi=10.1016%2fj.spc.2023.05.011&partnerID=40&md5=a3f20b97e1ea2f8ce630f0ae6f7ff3b6","CE; indicator; Level of circularity; micro level; Software; University","Decision making; Environmental management; Assessment tool; Circular economy; Community services; Education research; Higher education institutions; Level of circularity; Micro level; Software; Transition process; University; Sustainable development"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167519726&doi=10.1016%2fj.spc.2023.07.031&partnerID=40&md5=8a7f698f9a5a45f6e4f2daec4fae4571","Economy of scale; Energy of scale; Energy system analysis; Industry","Energy efficiency; Energy utilization; % reductions; Economy of scale; Energy; Energy of scale; Energy systems analysis; Energy-consumption; Industrial energy system; Industrial sector; Specific energy consumption; Subsectors; Industrial plants"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165229328&doi=10.1016%2fj.spc.2023.07.017&partnerID=40&md5=f9a6c34bcf42ee2a925118e218b595d2","Ancient grains; Backcasting; Business strategy; Mixed methods research; New business models; Territorial level","Commerce; Food supply; Strategic planning; Supply chains; Ancient grain; Backcasting; Business strategy; Consumers' preferences; Food supply chain; High-quality products; Local economy; Mixed-methods research; New business models; Territorial level; Grain (agricultural product)"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166732191&doi=10.1016%2fj.spc.2023.08.001&partnerID=40&md5=362f06b1147e6d3fd86534632075fc9a","Green certification; ISO 14040; Life cycle thinking; Recycled materials","Environmental management; Life cycle; Recycling; Supply chain management; Textile industry; Certification standards; Environmental performance; Evaluation metrics; Green certifications; Industry based; International brands; ISO 14040; Life cycle thinking; Material industries; Recycled materials; Textiles"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165232733&doi=10.1016%2fj.spc.2023.07.008&partnerID=40&md5=96affcf7a992a7f12a0985d847ee5625","Attitude networks; Consumer behavior; Emotions; Purchase intentions; Smartphones","Energy utilization; Environmental impact; Purchasing; Sales; Smartphones; Sustainable development; Attitude network; Emotion; Energy-consumption; European Countries; Modulars; Online studies; Purchase intention; Repairability; Replacement cycles; Smart phones; Consumer behavior"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160212949&doi=10.1016%2fj.spc.2023.05.019&partnerID=40&md5=588a88d1d5759338aeb36f7a1814227e","Greenhouse gas emissions; Modified multi-objective grey wolf optimization algorithm; Multi-objective project scheduling; Resource-leveling; Sustainable construction management","Commerce; Environmental impact assessments; Gas emissions; Genetic algorithms; Greenhouse gases; Heuristic algorithms; Sustainable development; Construction management; Gray wolves; Greenhouse gas emissions; Modified multi-objective gray wolf optimization algorithm; Multi objective; Multi-objective project scheduling; Optimization algorithms; Resources leveling; Sustainable construction; Sustainable construction management; Multiobjective optimization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169044633&doi=10.1016%2fj.spc.2023.08.009&partnerID=40&md5=5eaaaddec875126e9a2a24e936102c79","Additive manufacturing; Data-driven predictive model; Design and process parameters; Design for additive manufacturing; Life cycle assessment; Machine learning; Product-process co-design","3D printing; Additives; Carbon footprint; Environmental management; Environmental technology; Iterative methods; Machine learning; Pollution control; Product design; Supply chains; Sustainable development; Co-designs; Data driven; Data-driven predictive model; Design for additive manufacturing; Design parameters; Life cycle assessment; Machine-learning; Predictive models; Process parameters; Product process; Product-process co-design; Life cycle"
