"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111069084&doi=10.1080%2f2573234X.2021.1955022&partnerID=40&md5=eb714779603271fc4c6ecad445956927","analyst reports; dictionary induction; domain-specific sentiment dictionary; financial analysts; Sentiment analysis","Balancing machines; Data handling; Deep learning; Information analysis; Investments; Learning systems; Classification performance; Data-driven approach; Domain specific; Financial analysts; Machine learning approaches; Sentiment dictionaries; Stock returns; Balancing"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115229841&doi=10.1080%2f2573234X.2021.1979901&partnerID=40&md5=05805d7c699b4b3cc4a14986f03b6f55","data mining; Diabetes complications; electronic health record; health facts; imbalance data; machine learning; predictive analytics","Balancing; Data mining; Diagnosis; eHealth; Machine learning; Records management; Diabetes complication; Diabetes-related complications; Electronic health; Electronic health record; Health fact; Health records; Imbalance datum; Machine learning applications; Machine-learning; Real-world; Predictive analytics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092304781&doi=10.1080%2f2573234X.2020.1829508&partnerID=40&md5=cefcd05e2ba93af299f929fbb831632f","Advanced analytics; AstraZeneca; corporate Core values; Machine learning and artificial intelligence; Objective hierarchy networks; Pharmaceutical; Principal-agent problem","Economics; Investments; Guiding principles; Information asymmetry; Investment decisions; Pharmaceutical company; Pharmaceutical industry; Principal-agent problems; Technical expertise; Value proposition; Advanced Analytics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097612688&doi=10.1080%2f2573234X.2020.1854625&partnerID=40&md5=ebb209f590da23d28f1898e282537254","European professional soccer leagues; home advantage; predictive accuracy and Credible Intervals (CI); Stan and CRAN-R","Hierarchical systems; Bayesian; Bayesian Analysis; Hierarchical model; Participating teams; Scoring performance; Sports competitions; Sub-components; Two-source model; Football"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064155384&doi=10.1080%2f2573234X.2018.1557020&partnerID=40&md5=f6b038b68db8f3af304f351917ec9ee4","Big data; business analytics; financial performance; holistic thinking; operational performance","Cost effectiveness; Business analytics; Contract manufacturers; Financial performance; Financial statements; Holistic thinking; Impact performance; Integrated business; Theoretical framework; Advanced Analytics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164478784&doi=10.1080%2f2573234X.2023.2231966&partnerID=40&md5=2b111a04ecc07e82f64a39892c9063d4","data availability; external factors; fear appeals; Human resources analytics (HRA); social influence; tool availability","Personnel; Conceptual frameworks; Control variable; Data availability; External factors; Fear appeal; Human resource analytic; Human resource analytics; Independent variables; Social influence; Tool availability; Economic and social effects"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139147273&doi=10.1080%2f2573234X.2022.2128447&partnerID=40&md5=8a2c4e51bd1eedb33e8e9eef1a067203","Association rule mining; classification; cross-buy; interpretability; machine learning","Forecasting; Black boxes; Buying behavior; Buying decisions; Classification models; Cross-buy; Feature engineerings; Integrating machines; Interpretability; Machine learning approaches; Machine-learning; Machine learning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087630198&doi=10.1080%2f2573234X.2019.1649991&partnerID=40&md5=c5745c93e67411773a20b4dfa5db0a05","Business analytics; capability; competitive advantage; maturity; organisational value","Competition; Business analytics; Competitive advantage; Empirical investigation; Organisational; Sufficient set; Advanced Analytics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080966722&doi=10.1080%2f2573234X.2019.1590131&partnerID=40&md5=c168eecfb40973f1d8cbae7e0b20dee7","Market research; open-ended responses; short text topic models; text analytics","Information retrieval systems; Statistics; Document Classification; Labour-intensive; Latent Dirichlet allocation; Market researches; Multiple components; One-to-one mappings; Open-ended response; Topic distributions; Commerce"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120077218&doi=10.1080%2f2573234X.2021.2007803&partnerID=40&md5=cfead0dfdb1acadb43c1abbeb3b6fde8","Analytics; kurtosis; mean square error; optimal trimming proportion; simulation; skewness; trimmed estimator","Decision making; Errors; Higher order statistics; Normal distribution; Regression analysis; Trimming; Analytic; Dependent variables; Error components; Kurtosis; Means square errors; Modeling parameters; Optimal trimming proportion; Simulation; Skewness; Trimmed estimators; Mean square error"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089186867&doi=10.1080%2f2573234X.2019.1675478&partnerID=40&md5=56e2403a1cceeb8f3db12ba75a3c925c","big data; concept assessment; data analytics; data extraction; innovation; Jaccard similarity; LDA; Text mining; topic modelling","Big data; Machine learning; Project management; Statistics; Text mining; Data extraction; Knowledge management framework; Latent Dirichlet allocation; Machine learning techniques; Organisational; Project evaluation; Start-up companies; Text mining techniques; Knowledge management"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133636939&doi=10.1080%2f2573234X.2022.2088412&partnerID=40&md5=c7720e019c0d09a8a461421c867b72e9","AI ethics; Data mining; design science; financial services; privacy; quality assurance","Finance; Life cycle; Quality assurance; Regulatory compliance; Risk management; AI ethic; CRISP-DM; Data mining process; Design science; Financial industry; Financial service; Industry process; Mining projects; Privacy; Service domain; Data mining"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089182827&doi=10.1080%2f2573234X.2020.1751569&partnerID=40&md5=05a6119bf3ce37ead9b12121fc560e18","Artificial neural networks; Bayesian network; decision support systems; machine learning; predictive modelling","Decision support systems; Forestry; Learning algorithms; Logistic regression; Machine learning; Managers; Classification algorithm; Decision support tools; Financial investors; Machine learning classification; Measurement procedures; Multinomial logistic regression; Velocity prediction; Velocity profiles; Neural networks"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114431845&doi=10.1080%2f2573234X.2021.1970483&partnerID=40&md5=ac44045e1dea7b59ebac505a284fe639","Singular Spectrum Analysis; Time series","Sales; Surveys; Time series; Algorithm parameters; Business data; Forecasting models; Literature survey; Operations planning; Retail revenue; Singular spectrum analysis; Sources of variation; Spectrum analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089174358&doi=10.1080%2f2573234X.2019.1693912&partnerID=40&md5=5d91bbc35381e4e341e19d8143e7b976","big data analytics; business analytics; business intelligence; data science; data warehouse; History of analytics; text analysis","Big data; Data Analytics; Decision support systems; Information systems; Information use; Relational database systems; Business analytics; Decision support system (dss); Human activities; Relational database schemata; Text analytics; Advanced Analytics"
