"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158825681&doi=10.1109%2fMNET.004.2200462&partnerID=40&md5=681d6f66d0b55ab653cc48864afe2d3d","","Codebooks; Communications systems; High reliability; Low latency; Multiple access; Multiple access technology; Potential users; Random access; Ultra-high; User identity; Mobile telecommunication systems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159689905&doi=10.1109%2fMNET.001.2300140&partnerID=40&md5=674cc1d5dff2adfe23d22ff12d467fc1","Data models; Data privacy; Generative adversarial networks; Mathematical models; Optimization; Servers; Training data","Deep learning; Generative adversarial networks; Optimization; Data reconstruction; Federated learning system; Learning frameworks; Learning models; Learning support; Optimisations; Optimization problems; Research frontiers; State of the art; Training data; Data privacy"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158914679&doi=10.1109%2fMNET.001.2200429&partnerID=40&md5=bfbce570bb3d0379dd88d0ac3c88a15c","","5G mobile communication systems; 'current; Enabling technologies; Future applications; Future networks; Key performance indicators; Massive deployment; Multi dimensional; Multiple access; Situational awareness; Stringents; Benchmarking"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158911285&doi=10.1109%2fMNET.001.2200468&partnerID=40&md5=19c56289a205f14ea905f1d6adfa72f9","","Augmented reality; Decoding; Encoding (symbols); Mobile telecommunication systems; Radio broadcasting; Signal encoding; Virtual reality; Communications systems; Encoding and decoding; Encodings; Mobile communications systems; Multi-modal; Multimedia semantics; Multiple access techniques; Semantic communication; Semantic representation; Semantics Information; Semantics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147281252&doi=10.1109%2fMNET.130.2200481&partnerID=40&md5=c7ddaefba8a0b65fdc7e1b52358861b1","Computational modeling; Numerical models; Protocols; Quantum networks; Qubit; Relays; Routing","Internet protocols; Quantum optics; Computational modelling; Network investigations; Of quantum-information; Performance; Quantum information technologies; Quantum network; Quantum networking; Quantum state; Relay; Routings; Network layers"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136082636&doi=10.1109%2fMNET.111.2100700&partnerID=40&md5=68dd9deca5e8ea73720541fbd57baee4","","Computer architecture; Cybersecurity; Disasters; Long short-term memory; Network architecture; Network security; Social networking (online); Block-chain; Cyber physicals; Engineering challenges; Mobile handsets; Offline; Offline transactions; Physical world; Security; Social networking (online); Social systems; Blockchain"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159797655&doi=10.1109%2fMNET.132.2200504&partnerID=40&md5=784067d2f09784047403f97cb8fe84d4","Data models; Earth; Low earth orbit satellites; Satellite broadcasting; Satellite constellations; Satellites; Training","Artificial intelligence; Communication satellites; Learning systems; Satellite communication systems; Connectivity pattern; Data driven; Distributed machine learning; Earth orbits; Intermittent connectivity; Learning paradigms; Learning tasks; Low earth orbit satellites; Satellite broadcasting; Satellite constellations; Orbits"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136112538&doi=10.1109%2fMNET.003.2100205&partnerID=40&md5=91d778d461f96368b702dd3eaf4e3ee3","","Array processing; Data handling; Heterogeneous networks; Mobile telecommunication systems; Risk perception; Signal interference; Signal to noise ratio; Wireless networks; Area measurement; Array signal processing; Daily lives; Effective mechanisms; Interference; Mobile communication networks; New approaches; Positioning data; Precise positioning; Risk areas; COVID-19"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161032085&doi=10.1109%2fMNET.135.2200597&partnerID=40&md5=8e51a8a9952bd9758e7433b27427a188","Biological cells; Encoding; Logic gates; Network topology; Qubit; Robustness; Topology",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135739284&doi=10.1109%2fMNET.116.2200033&partnerID=40&md5=9f2e179ee853af840b8038d43e2e1821","","Interactive computer systems; Machine design; Real time systems; Remote control; Application scenario; Communication mode; Delay; Experimental platform; Force; Hardware; Internet needs; Medical services; Real - Time system; Real-world; Manipulators"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154019934&doi=10.1109%2fMNET.002.2200433&partnerID=40&md5=2b6c189ffd872db5033ca58c4d80dd13","","Spectrum efficiency; Basic principles; Communication principle; Index modulation; Multiple access; Non-orthogonal; Reconfigurable; Spectral efficiencies; Systems performance; Systems support; Vehicular networks; Energy efficiency"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135749924&doi=10.1109%2fMNET.105.2100620&partnerID=40&md5=41550aa5a821b70dbf812bcb56f13cc3","","Blockchain; Data privacy; E-learning; Job analysis; Adaptation models; Block-chain; Computational modelling; Customization services; Digital representations; Mass customization; New services; Privacy; Task analysis; TWIN networks; Markov processes"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135753503&doi=10.1109%2fMNET.107.2100372&partnerID=40&md5=a98cf59c766008a267ce327d8ea5f0ff","","Authentication; Radio frequency identification (RFID); Radio systems; Radio waves; Ubiquitous computing; Authentication scheme; Device authentications; Features extraction; Fingerprint identification; Hardware; Privacy breaches; Radiofrequencies; Receiver; Secret key; Wireless communications; Cryptography"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162929423&doi=10.1109%2fMNET.126.2200205&partnerID=40&md5=5399612a6b46a2f7ccc48cc85acb39fb","Communication system security; Computational modeling; Data models; Distributed databases; Servers; Wireless communication; Wireless sensor networks",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159848247&doi=10.1109%2fMNET002.2300017&partnerID=40&md5=e0c3ae5732936065d370f2380dcb43aa","5G mobile communication; 6G mobile communication; Cloud computing; Computer architecture; Reinforcement learning; Resource management; Wireless networks","5G mobile communication systems; Cloud computing; Computer architecture; Deep learning; Network architecture; Resource allocation; Wireless networks; 5g mobile communication; 6g mobile communication; Cloud-computing; Mobile communications; Network flexibility; Network scalability; Reinforcement learnings; Resource management; Resources allocation; Reinforcement learning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149826354&doi=10.1109%2fMNET.134.2200619&partnerID=40&md5=a39c1c337826a876f3d1da89f9d898d9","Data models; Eavesdropping; Optical sensors; Protocols; Quantum communication; Qubit; Security","Autonomous vehicles; Internet protocols; Learning systems; Network security; Optical communication; Quantum communication; Quantum cryptography; Security systems; Data delivery; Eavesdropping; Privacy and security; Provable security; Quantum communication technology; Safe driving; Security; Unconditional security; Vehicular networks; Wireless communication technology; Network architecture"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162850361&doi=10.1109%2fMNET.135.2200584&partnerID=40&md5=e2dc31a48fb3cf62c7434e941d01e1b8","","Multiple access interference; Enabling techniques; Interference management; Management capabilities; Multiple access; Next-generation wireless communications; Physical layers; Rate splitting; Security issues; Successive interference cancellations; Network layers"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135743833&doi=10.1109%2fMNET.008.2100472&partnerID=40&md5=b7f7779a4b93d8bcabfa193bc26fa453","","Authentication; Autonomous vehicles; Base stations; Cryptography; Electric connectors; Internet protocols; Topology; Aerial vehicle; Authentication protocols; BS (base station); BS: Base Station; Hostile environments; Network topology; Network traffic loads; Performance; Time-optimal; Vehicle applications; Antennas"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149812102&doi=10.1109%2fMNET.131.2200394&partnerID=40&md5=7cad9e686c93884361b93e815f09c469","Cloud computing; Computational modeling; Computer architecture; Resource management; Sensors; Servers; Task analysis","Client server computer systems; Computation offloading; Computation theory; Computer architecture; Deep learning; Game theory; Intelligent systems; Job analysis; Resource allocation; Cloud-computing; Computation offloading; Computational modelling; Edge computing; Intelligent transportation systems; Multiaccess; Multiservers; Resource management; Service experience; Task analysis; Reinforcement learning"
